faculty_id,course_id,competency_level,can_teach_theory,can_teach_practical,preference_score
a1b2c3d4-e5f6-7890-abcd-123456789401,a1b2c3d4-e5f6-7890-abcd-123456789301,9,TRUE,TRUE,9.0
a1b2c3d4-e5f6-7890-abcd-123456789401,a1b2c3d4-e5f6-7890-abcd-123456789302,9,TRUE,TRUE,8.5
a1b2c3d4-e5f6-7890-abcd-123456789401,a1b2c3d4-e5f6-7890-abcd-123456789303,8,TRUE,FALSE,8.0
a1b2c3d4-e5f6-7890-abcd-123456789402,a1b2c3d4-e5f6-7890-abcd-123456789304,9,TRUE,TRUE,9.0
a1b2c3d4-e5f6-7890-abcd-123456789402,a1b2c3d4-e5f6-7890-abcd-123456789305,8,TRUE,TRUE,8.0
a1b2c3d4-e5f6-7890-abcd-123456789402,a1b2c3d4-e5f6-7890-abcd-123456789310,9,TRUE,TRUE,8.5
a1b2c3d4-e5f6-7890-abcd-123456789403,a1b2c3d4-e5f6-7890-abcd-123456789308,9,TRUE,TRUE,9.0
a1b2c3d4-e5f6-7890-abcd-123456789403,a1b2c3d4-e5f6-7890-abcd-123456789309,8,TRUE,TRUE,8.5
a1b2c3d4-e5f6-7890-abcd-123456789403,a1b2c3d4-e5f6-7890-abcd-123456789311,7,TRUE,TRUE,7.0
a1b2c3d4-e5f6-7890-abcd-123456789404,a1b2c3d4-e5f6-7890-abcd-123456789306,8,TRUE,FALSE,8.0
a1b2c3d4-e5f6-7890-abcd-123456789404,a1b2c3d4-e5f6-7890-abcd-123456789307,9,TRUE,FALSE,9.0
a1b2c3d4-e5f6-7890-abcd-123456789404,a1b2c3d4-e5f6-7890-abcd-123456789315,8,TRUE,FALSE,8.5
