timeslot_id,tenant_id,institution_id,slot_code,slot_name,day_of_week,start_time,end_time,shift_type,slot_type
a1b2c3d4-e5f6-7890-abcd-123456789601,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_08_09,Monday 8:00-9:00 AM,1,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789602,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_09_10,Monday 9:00-10:00 AM,1,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789603,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_10_11,Monday 10:00-11:00 AM,1,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789604,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_11_12,Monday 11:00-12:00 PM,1,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789605,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_12_13,Monday Lunch Break,1,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789606,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_13_14,Monday 1:00-2:00 PM,1,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789607,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_14_15,Monday 2:00-3:00 PM,1,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789608,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_15_16,Monday 3:00-4:00 PM,1,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789610,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_08_09,Tuesday 8:00-9:00 AM,2,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789611,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_09_10,Tuesday 9:00-10:00 AM,2,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789612,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_10_11,Tuesday 10:00-11:00 AM,2,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789613,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_11_12,Tuesday 11:00-12:00 PM,2,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789614,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_12_13,Tuesday Lunch Break,2,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789615,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_13_14,Tuesday 1:00-2:00 PM,2,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789616,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_14_15,Tuesday 2:00-3:00 PM,2,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789617,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_15_16,Tuesday 3:00-4:00 PM,2,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789620,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_08_09,Wednesday 8:00-9:00 AM,3,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789621,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_09_10,Wednesday 9:00-10:00 AM,3,09:00:00,10:00:00,MORNING,REGULAR
